title,description,Deposit,Rent PCM,Bills Included,Broadband,Student Friendly,Families Allowed,Pets Allowed,Smokers Allowed, DSS/LHA Covers Rent  ,Available From,Minimum Tenancy, Online Viewings      ,Garden,Parking,Fireplace,Furnishing,EPC Rating,station_distances, DSS Income Accepted  ,Maximum Tenancy,Students Only,EPC Not Required
"2 Bed Flat, Merino Gardens, E1W","                                Nestled in the heart of Wapping, Merino Gardens is an incredible newly built residential development which has access to seven and a half acres of open landscapes spaceand luxury spa and gym facilities. This 2 bedroom, 2 balcony apartment boasts a spacious and modern open plan kitchen and reception area. Both of the bedrooms boast generous proportions and the two bathrooms encompass contemporary design The development has an incredible location with fantastic Zone 1 transport links within walking distance.                            ","£6,461.53","£5,600.00",No,             View Offers         ,No,No,No,No,No,Today,12 Months,No,No,No,No,At tenant choice,C,"[['                                        Charing Cross                                    ', '                                        2 minute walk                                    '], ['                                        London Charing Cross                                    ', '                                        4 minute walk                                    '], ['                                        Embankment                                    ', '                                        5 minute walk                                    '], ['                                        Leicester Square                                    ', '                                        7 minute walk                                    ']]",,,,
"1 Bed Flat, Oxendon Street, SW1Y","                                On the doorstep of lively Piccadilly Circus with stunning views of London Eye and Big Ben and only a short walk from shopping streets Oxford Street and Regent Street, Soho, and Covent Garden. Close to LSE, Kings College and UCL.The apartment features 1 small bedroom and 1 bathroom in a purpose-built building right in the heart of Central London.The kitchen in this property is fully stocked and complete with all the facilities you might need. The bathroom has a shower and WC and features gold-leaf tiles. The living room is open plan and has a thematic wall. Another has a built-in wall TV. There is a breakfast table also with a built-in hob for lighter cooking. The apartment comes with TV, dishwasher and dryer, and cookery facilities.Size 390 Sq Feet.For one occupant only. Council tax circa Â£775 per year, electricity and water payable based on consumption.                            ","£2,974.99","£2,578.33",No,             View Offers         ,No,No,No,No,No,"01 October, 2023",12 Months,No,No,No,No,Furnished,C,"[['                                        Piccadilly Circus                                    ', '                                        3 minute walk                                    '], ['                                        Charing Cross                                    ', '                                        5 minute walk                                    '], ['                                        Leicester Square                                    ', '                                        5 minute walk                                    '], ['                                        London Charing Cross                                    ', '                                        8 minute walk                                    ']]",,,,
"2 Bed Flat, Covent Garden, WC2H"," Lovely, spacious, newly refurnished, about 750 Sq feet 2 double bedrooms, 3rd and 4th floor duplex flat. Renovated to high standard ( Pictures are old, new will be updated); plenty of storage space. Separate living room with beautiful views of St Giles Church yard/garden ( the pic attached is taken from the living room window). Kitchen diner with all the appliances including dish washer. 3 piece bathroom suite with bath and shower. 2 double bedrooms with builtin wardrobes and study desks. Separate storage room which can accommodate couple of bikes and more. Entry phone and Spacious new lift. Situated in a quiet street; tucked away from the hustle and bustle of Central London. 2 minutes walk from Tottenham court, Covent Garden and Leicester Square Tube stations. Walking distance to LSE, UCL and many popular universities. Ideal for a professional couple and  students sharing.Not for short lets and rent to rent. Agents please excuse. ","£3,230.76","£2,800.00",No,             View Offers         ,No,No,No,No,,"01 September, 2023",12 Months,No,No,No,No,Furnished,D,"[['                                        Leicester Square                                    ', '                                        4 minute walk                                    '], ['                                        Covent Garden                                    ', '                                        4 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        6 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        6 minute walk                                    ']]",No,,,
"1 Bed Flat, Marconi House, WC2R","                                Beautiful luxurious one-bedroom DUPLEX within one of London's most prestigious and conveniently placed buildings - The Marconi House.  Designed by world-class award-winning architect firm Forster and Partners. Marconi House is minutes away from Covent Garden, Royal Opera House, and River Thames. The property spread over two floors of this high-end impressive grade II listed building in excess of 715 sq ft living space. Open plan reception and dining room with Mele fitted kitchen and appliance. There is one guest bathroom on the lower floor. The upper floor comprises of one double bedroom with a fitted closet and ensuites. Benefits from the state-of-the-art home technology with integrated touch panel lighting and cooling system - all within the touch of a smart tablet. The Marconi House offers 24-hour concierge service and 3000 sq ft hotel-style lobbyRemarks to renter : Proven employment track record. Credit report requires. No Pet. No Smokers. Valid residence visa. Please DO NOT SMS my UK number. I am in Asia right now. So it's best you communicate with me through  this portal so I get your message on a timely fashion.Private landlord-managed property.12 months advance payment is required                            ","£4,900.00","£4,246.67",No,             View Offers         ,No,No,No,No,No,"28 August, 2023",12 Months,,No,No,No,Furnished,C,"[['                                        Covent Garden                                    ', '                                        6 minute walk                                    '], ['                                        Charing Cross                                    ', '                                        7 minute walk                                    '], ['                                        Temple                                    ', '                                        7 minute walk                                    '], ['                                        London Charing Cross                                    ', '                                        8 minute walk                                    ']]",,,,
"2 Bed Flat, Townsend House, W1D","                                This beautiful, modern apartment truly is a rare find. Situated on the forth floor, the property has a light and airy loft-like feel with amazing views of the surrounding neighbourhood. Excellent transport links, shops, bars and restaurants all on your doorstep!                            ","£5,192.30","£4,500.00",No,             View Offers         ,No,No,No,No,No,Today,1 Months,No,No,No,No,Furnished,C,"[['                                        Tottenham Court Road                                    ', '                                        6 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        6 minute walk                                    '], ['                                        Leicester Square                                    ', '                                        7 minute walk                                    '], ['                                        Piccadilly Circus                                    ', '                                        7 minute walk                                    ']]",,2 Months,,
"1 Bed Flat, Beaumont Buildings, WC2B","                                One Bedroom flat with Close Proximity to LSE and other Local Universites situated in Covent Garden.This flat consists of a bright airy living room with a separate fully fitted kitchen, a double bedroom and a shower room with separate w/c. The property also benefits from secure entry system. This Martlett Court property is in the heart of Covent Garden with beautiful communal gardens set right behind the Royal Opera house. Living in the world renowned location of Covent Garden Theatreland is on your doorstep from Wicked to Matilda you can pick a new show every night along with great bars, restaurants and attractions for all. It is a short walking distance from Covent Garden Tube Station and other transport links. Available 10th of September 2023                            ","£2,884.61","£2,500.00",No,             View Offers         ,No,No,No,No,No,"10 September, 2023",12 Months,,No,No,No,Furnished,D,"[['                                        Covent Garden                                    ', '                                        4 minute walk                                    '], ['                                        Holborn                                    ', '                                        6 minute walk                                    '], ['                                        Leicester Square                                    ', '                                        7 minute walk                                    '], ['                                        Charing Cross                                    ', '                                        9 minute walk                                    ']]",,,,
"2 Bed Flat, Drury Lane, WC2B","                                We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location.Available to move in from 23 July 2023. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£3,900.00 per month (Â£900.00 per week)Deposit / Bond is Â£4,500.00Minimum tenancy is 6 monthsMaximum number of tenants is 6                            ","£4,500.00","£3,900.00",No,             View Offers         ,No,No,No,No,No,Today,6 Months,,No,No,No,Furnished,A,"[['                                        Covent Garden                                    ', '                                        4 minute walk                                    '], ['                                        Holborn                                    ', '                                        6 minute walk                                    '], ['                                        Leicester Square                                    ', '                                        8 minute walk                                    '], ['                                        Temple                                    ', '                                        9 minute walk                                    ']]",,,,
"1 Bed Flat, Casson Square, SE1","                                **VIDEO VIEWING AVAILABLE**Entire one bed luxurious flatavailable to rent in the popular and stunning location of Waterloo. Unbeatable location!Separate bedroom and bathroom. Very close to amenities and multiple transport links, both underground and train station (Waterloo station) ~2minutes walk. Southbank and the London Eye is right on your door step! Good view in the direction of Royal Festival Hall and River ThamesHighlights- Residents exclusive use of Gym, Infinity Pool, Steam Room, Sauna, Gym group Classes, etc.- 24 Hour Concierge - Triple Glazed Windows- Blackout Thermal Blinds (Perfect Fit)- Miele appliances- Underfloor Heating and Cooling System are installedApartment comes fully furnished. - a fully integrated kitchen with state of the art Miele appliances including dishwasher, microwave combination oven and wine cooler  - a large reception room with floor to ceiling windows- principal bedroom has bespoke full height wardrobes allowing for plenty of storage space- wooden flooring throughout, triple glazed windows, underfloor heating and comfort coolingResidents have access to multiple stylish private entertainment spaces - a place to work and meet colleagues for a coffee, or a spaceto sink into the comfy couches and chill in the lounge.  30 Casson Square has its own 24 hour concierge service as well as the Southbank Place 24hour security staff.30 Casson Square is located on the Southbank in the heart of London's cultural district with the BFI IMAX, Southbank Centre, Royal Festival Hall, Old Vic Theatre, Hayward Gallery and National Theatre all nearby. Southbank Place benefits from an onsite entrance into Waterloo Station for the Jubilee, Northern, Bakerloo, Waterloo & City line and mainline trains. The apartment is conveniently located for the City, Canary Wharf and the West End via the Jubilee Line.  Nearby are a great variety of restaurants and supermarkets.  You can also do a leisure walk downstairs at the beautiful Jubilee Park & Garden.   (NO COMPANY LETS, AGENTS OR SERVICED ACCOMMODATION REQUESTS PLEASE )  ","£4,125.00","£3,575.00",No,             View Offers         ,No,No,No,No,No,"28 August, 2023",12 Months,No,No,No,No,Furnished,B,"[['                                        Waterloo                                    ', '                                        2 minute walk                                    '], ['                                        London Waterloo                                    ', '                                        4 minute walk                                    '], ['                                        London Waterloo East                                    ', '                                        7 minute walk                                    '], ['                                        Lambeth North                                    ', '                                        11 minute walk                                    ']]",,,,
"3 Bed Terraced House, St. Annes Court, W1F","                                Historic 3 bedroom house in Soho, off Dean Street and moments away from the swanking new Tottenham Court Road Station.There are 3 double bedrooms, two of which are on the 2nd floor and the other 3rd bedroom is located on the 3rd floor. The kitchen, dining room and sitting rooms are all located on the 1st floor. This is suitable for students at nearby University of London colleges (UCL, SOAS, LSE, LBS) and those working in London. The new Crossrail is 50m away. Soho Gardens is on your doorstep as is a large Tesco supermarket. Soho is a world famous centre for Arts and Chinatown, Covent Garden and Piccadilly Circus are 10m walk with St James' Park 15 mins away. There are double beds in each bedroom. One bedroom has an additional single bed that can be removed. Nearest Stations: Tottenham Court Road, Oxford Street and Piccadilly Circus not far.                            ","£7,211.53","£6,250.00",No,             View Offers         ,,No,No,No,No,"21 August, 2023",9 Months,No,No,No,No,Furnished,D,"[['                                        Tottenham Court Road                                    ', '                                        4 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        5 minute walk                                    '], ['                                        Piccadilly Circus                                    ', '                                        8 minute walk                                    '], ['                                        Leicester Square                                    ', '                                        8 minute walk                                    ']]",,,No,
"Studio Flat, Drury Lane, WC2B","                                Spacious studio, newly renovated on Drury Lane, London, United KingdomRoom includes:Double bed + Study desk + underbed storage + Ensuite bathroom + Inbuilt kitchenBuilding includes: Free access of cinema room and common room (to study & play mahjong & play pool & play foosball) and well-equipped gymAccessibility:5 minute walk to LSE, KCL5 minute walk to Covent Garden (Piccadilly Line) and Holborn (Central Line)7 minute walk to Leicester Square (Northern Line)10 minute walk to Tottenham Court Road (Elizabeth Line) *convenient access to airport6 August - 9 September                            ",£0.00,"£2,249.00",No,             View Offers         ,No,No,No,No,,"06 August, 2023",1 Months,No,No,No,No,Furnished,,"[['                                        Covent Garden                                    ', '                                        3 minute walk                                    '], ['                                        Holborn                                    ', '                                        5 minute walk                                    '], ['                                        Leicester Square                                    ', '                                        7 minute walk                                    '], ['                                        Tottenham Court Road                                    ', '                                        10 minute walk                                    ']]",No,,,Property is a listed building
