iter	RMSE
0	8933.000177
1	8827.417773
2	8740.375743
3	8586.543705
4	8519.304918
5	8298.610032
6	8204.737559
7	8055.172662
8	7875.08499
9	7842.046846
10	7790.239911
11	7732.644063
12	7538.204555
13	7387.937478
14	7351.779302
15	7173.048674
16	7011.830475
17	6966.50193
18	6923.924167
19	6816.104039
20	6668.254336
21	6627.459645
22	6483.921123
23	6408.424123
24	6377.136214
25	6247.642914
26	6178.712533
27	6045.653064
28	5993.196971
29	5974.57411
30	5950.445795
31	5924.46324
32	5878.139202
33	5861.726311
34	5844.463616
35	5819.473377
36	5724.944592
37	5675.403736
38	5641.682711
39	5622.904872
40	5603.704544
41	5594.97471
42	5563.395966
43	5543.562147
44	5488.843264
45	5476.509499
46	5363.262088
47	5259.559484
48	5245.253581
49	5239.33405
50	5228.863254
51	5165.450953
52	5140.755686
53	5080.01662
54	5074.044315
55	5045.801712
56	5014.577372
57	5005.258412
58	4950.185161
59	4934.998797
60	4931.976267
61	4876.58099
62	4838.336793
63	4826.684622
64	4771.426632
65	4757.57735
66	4748.891864
67	4743.050123
68	4727.605457
69	4722.034656
70	4714.727639
71	4619.5788
72	4606.963637
73	4562.061611
74	4542.717171
75	4454.476321
76	4374.583337
77	4363.675443
78	4359.148855
79	4274.382083
80	4263.039478
81	4253.908837
82	4250.052655
83	4241.811882
84	4228.597774
85	4226.182194
86	4192.662481
87	4181.264468
88	4175.951433
89	4154.139793
90	4076.264226
91	4009.23747
92	3979.090527
93	3965.251017
94	3902.332612
95	3838.928389
96	3828.447187
97	3814.730045
98	3794.409576
99	3787.407358
100	3777.243293
101	3771.052056
102	3759.026422
103	3736.158015
104	3672.346797
105	3612.084548
106	3599.630408
107	3551.836755
108	3537.541103
109	3526.151574
110	3502.308004
111	3486.112159
112	3432.119923
113	3425.306202
114	3416.717857
115	3399.902072
116	3345.771965
117	3340.973963
118	3330.445453
119	3285.506169
120	3235.80516
121	3229.602138
122	3224.116599
123	3214.655703
124	3199.277916
125	3182.316809
126	3139.406118
127	3095.306536
128	3089.967592
129	3052.925315
130	3045.92387
131	3030.487748
132	3025.771631
133	3008.099706
134	2999.206286
135	2959.822889
136	2949.10471
137	2945.153138
138	2942.795834
139	2905.661676
140	2884.011655
141	2878.129678
142	2852.059484
143	2849.292098
144	2814.629423
145	2810.107331
146	2808.759272
