title,address,link,Property type:,City:,Bedrooms:,Price:,Furnished:,description,latitude,longitude,Bathrooms:,Area:,Price per m²:,Deposit:,Available from:,Elevator:,Washing machine:,Dish washer:,Pets allowed:,Garage:,Terrace:,Swimming pool:,Balcony:
Rent 1 bedroom apartment in Harrow,"1 BEDROOM APARTMENT IN IMPERIAL DRIVE, PINNER, HA2",https://rentola.com/listings/1-bedroom-apartment-in-imperial-drive-pinner-ha2-d44a71,Apartment,Harrow,1,1275 €,Yes,wex and co offer a selection of newly refurbished luxury one bedroom apartments available immediately. the properties are available furnished or unfurnished. details include lift access and grand concierge. each flat is exquisitely presented with a fully fitted kitchen and cupboards in bedrooms and also proficiently designed to create bright open plan interiors.,51.5801411,-0.3663666,,,,,,,,,,,,,
Rent 2 bedroom apartment in Harrow,"2 BEDROOM APARTMENT IN IMPERIAL DRIVE, PINNER, HA2",https://rentola.com/listings/2-bedroom-apartment-in-imperial-drive-pinner-ha2-8aeb65,Apartment,Harrow,2,1594 €,Yes,wex and co offer a selection of newly refurbished luxury two bedroom apartments available immediately. the properties are available furnished or unfurnished. details include lift access and grand concierge. each flat is exquisitely presented with a fully fitted kitchen and cupboards in bedrooms and also proficiently designed to create bright open plan interiors.,51.5801411,-0.3663666,1,,,,,,,,,,,,
Rent 2 bedroom apartment in Greenford,"2 BED FLAT IN GRENAN SQUARE, GREENFORD, UB6",https://rentola.com/listings/2-bed-flat-in-grenan-square-greenford-ub6-a4afda,Apartment,Greenford,2,2528 €,,"the property is located within easy reach of greenford station and the central line underground to central london.
it offers a 24/7 concierge service, with an on-site team available to collect post and parcels, organise deliveries and assist with any residential requirements (repairs, waste management and more).
the 14th floor boosts the perfect combination of on-site amenities, including a 24/7 gym, a cinema, a play, room for families, a games room and bar area, a dining room and a roof terrace overlooking west london.",51.54815,-0.342295,1,,,,,,,,,,,,
Rent 2 bedroom apartment of 81 m² in CoventGarden,"Temple House, 190 The Strand, Covent Garden",https://rentola.com/listings/temple-house-190-the-strand-covent-garden-79e6a1,Apartment,Coventgarden,2,5084 €,Yes,"A premium apartment. This exceptional two bedroom two bathroom apartment of 872 sq ft / 81 sq m, situated on the quiet west facing side of the luxurious 190 The Strand development and close to the banks of the River Thames and Covent Garden, is available to rent through Prime London. 
This fully furnished property is finished to the highest specification. The property comprises a spacious entrance hall with ample storage, a large open-plan reception room with two private balconies, dining area, and a smart kitchen with Miele integrated appliances. There are a further two substantial double bedrooms, and one with its own luxury bathroom suite, the other benefits from a separate family bathroom. The property also features comfort cooling, underfloor heating, and solid parquet wood flooring.

190 The Strand benefits from a five-star 24 hour concierge service, resident's private cinema, state of the art gym and swimming pool/spa.",51.5115051,-0.113562,2,81 m2,62 €,,,,,,,,,,
Rent 2 bedroom apartment in London,2 Bedroom Apartment To Rent,https://rentola.com/listings/2-bedroom-apartment-to-rent-98a970,Apartment,London,2,2725 €,Yes,"Email agent
Contact
[HIDDEN] Call
Apartment
2 bedroom
2 bathroom
Letting details
* Available now
* Furnished
* Deposit: £2712
* Long term let
Property description
2 bedrooms. 2 bathrooms. 5th floor contemporary serviced apartment with private balconies is available for let. Includes gym and swimming pool. Minutes walk to South Quay DRL station. Contact agent for more info.
Arrive in style and be greeted by warm professional concierge personnel at reception.
Reception/Kitchen: Open plan. Floor is laminate. Double glazed windows. Electrical connection power points. Radiator panel.
Kitchen white goods include the following: Integrated fridge freezer. Electric hobs. Electric Oven. Wall fitted storage cabinets. Single mixer tap over wash hand basin. Washing machine. Dish washer. Electrical connector points.
Bedroom 1: 12'9 x 8'6 or (3.89m x 2.60m) Carpet flooring. Double sized bed + mattress. Patio access door to private use of balcony. Electrical connection points. Fitted wardrobe. Radiator panel to side.
Shower Room: Wall fitted mirror. Soft paddle WC. Shower cubicle. Ceiling fitted electric operated air vent. Wash hand basin + mixer tap. Electrical connector points.
En-suite Bedroom 2: 16'11 x 8'6 or (5.16m x 2.59m) Carpet flooring. Double sized bed + mattress. Patio access door to private use of balcony. Electrical connection points. Double sized fitted wardrobe. Radiator panel to side.
En-suite Bathroom: Wall fitted mirror. Soft paddle WC. Panel bath with shower extension. Ceiling fitted electric operated air vent. Wash hand basin + mixer tap. Electrical connector points.
Council Tax Band: F ( £2011.28 per annum | £167 per monthly)
EPC Rating Band: B
Gym & Swimming Pool available.
Transportation: South Quay DLR station is 5 mins walk away.
Convenience Store: Tesco Express is minutes walk away.
MOVING COST:
Month's Rent Advance: £2350
Deposit: £2711
----------------------------------------------------------
TOTAL: £5,061
----------------------------------------------------------
Show moreShow less
Visit agent website (http://www.samanthajaneltd.co.uk)
Samanthajane - Charlton
35 The Village Charlton, London SE7 8UG
[HIDDEN] Call
Request viewing/info
What is your home worth?
Visit agent website (http://www.samanthajaneltd.co.uk)",51.49844875,-0.0195814577757567,,,,2712 €,,,,,,,,,
Rent 1 bedroom apartment in London,EC2Y,https://rentola.com/listings/ec2y-ae2c4a,Apartment,London,1,2667 €,,"Brand New Luxurious one bedroom apartment in this landmark development in the heart of the City of London and the financial district. Benefits from 24 hour concierge, communal gym and a high specification finish throughout. Offered furnished. Wood Street is superbly located for an easy throughout the City. Transport links are excellent with Barbican, Moorgate and St Pauls all in close proximity to the property. With One New Change Shopping Centre, Waitrose, along with a wide array of bars, coffee houses and restaurants nearby this property offers everything that a City tenant could require!
{{ open ? 'Show less' : 'Read more' }} Chevron Down Icon Icon set Chevron Down",51.5172997,-0.096,1,,,,,,,,,,,,
Rent 2 bedroom apartment in London,2 Bed Apartment Brondesbury Villas London NW6,https://rentola.com/listings/2-bed-apartment-brondesbury-villas-london-nw6-a19e53,Apartment,London,2,1767 €,Yes,"Guide price £1650 - £1850 PCM !!!!! Brondesbury Villas. NW6. Tastefully furnished two bedrooms apartment in Queens Park. This flat boasts high ceilings throughout, offering two double bedrooms with plenty of storage, a lightly furnished bright and airy living room, a contemporary and fully fitted separate kitchen and a three-piece bathroom. All-natural deco throughout. Property is less than a seven-minute walk to the Queens Park station and on the other end of the property is Kilburn High Road, offering access to transport, major shops and Banks. Call Merlin Cooper to arrange a viewing. Information on the property description and on http://www.merlincooper.co.uk/tenant-guide",51.5553852520573,-0.194072593900401,1,,,,,,,,,,,,
Rent 3 bedroom apartment in London,3 Bed Apartment Charteris Road London NW6,https://rentola.com/listings/3-bed-apartment-charteris-road-london-nw6-0ac06e,Apartment,London,3,2644 €,Yes,"Charteris Road.NW6. Recently refurbished three bedrooms Flat in Queens Park. This spacious apartment spreads over three floors of a Victorian conversion. This flat offers four double bedrooms, two bathrooms, an eat-in kitchen and a lovely roof terrace. Short walk to the shops and undergrounds of Kilburn and Queens Park. Gas central heating and cooker, washing machine. Must see Information on the property description and on http://www.merlincooper.co.uk/tenant-guide",51.5553852520573,-0.194072593900401,2,,,,,,,,,,,,
Rent 1 bedroom apartment in London,1 Bed Apartment Lisson Grove London NW8,https://rentola.com/listings/1-bed-apartment-lisson-grove-london-nw8-f82e03,Apartment,London,1,1530 €,Yes,"1 Bed Flat - Contemporary Kitchen - Spacious Living Room - Bright and Spacious Double Bedroom - Private Patio – Concierge - Private Block – Close to Edgware Road and Marylebone Stations. Lisson Grove. NW8. Contemporary one double bedroom flat in St. Johns Wood. This Flat is on the ground floor of the highly sought after Belvedere Heights. The Apartment boasts of a spacious living area that opens to a good size patio and fitted kitchen, a double bedroom with lots of light coming through and a modern bathroom. The building has a concierge and is less than 10 minutes walk to Edgware Road and Marylebone Stations. Must see. Information on the property description and on http://www.merlincooper.co.uk/tenant-guide",51.5317672101699,-0.172056018823114,1,,,,,,,,,,,,
Rent 1 bedroom apartment in London,1 Bed Apartment 1 Chepstow Place London W2,https://rentola.com/listings/1-bed-apartment-1-chepstow-place-london-w2-a7e5f6,Apartment,London,1,2300 €,Yes,"Chepstow Place, W2. Lovely One double bedroom in . This property offers a bright and spacious reception area, fitted kitchen and a modern bathroom. Property is offere fully furnished  with a 24 hours concierge and gym and its less than 10 minutes walk to both Notting Hill and Bayswater Underground Stations.  Rental price include water rate. Call Merlin Cooper to arrange a viewing. ONE WEEK RENT",51.5148763810753,-0.176362855066059,1,,,,,,,,,,,,
