iter	Passed	Remaining
0	1	1166
1	3	1114
2	5	1108
3	6	1088
4	8	1063
5	10	1139
6	12	1133
7	13	1107
8	15	1099
9	16	1087
10	18	1077
11	20	1066
12	21	1054
13	23	1045
14	25	1089
15	27	1097
16	29	1095
17	30	1088
18	32	1083
19	34	1080
20	35	1075
21	37	1072
22	39	1067
23	41	1083
24	43	1094
25	45	1090
26	47	1088
27	48	1083
28	50	1078
29	52	1074
30	53	1072
31	55	1067
32	58	1085
33	59	1081
34	61	1076
35	62	1072
36	64	1068
37	66	1066
38	67	1063
39	69	1059
40	71	1056
41	73	1064
42	75	1060
43	76	1056
44	78	1051
45	79	1046
46	81	1043
47	83	1041
48	84	1037
49	85	1026
50	87	1024
51	89	1023
52	90	1020
53	92	1018
54	93	1008
55	94	1005
56	96	1004
57	98	1003
58	100	1002
59	101	999
60	102	989
61	104	990
62	105	987
63	107	985
64	109	982
65	110	979
66	112	976
67	113	973
68	115	970
69	116	964
70	117	961
71	119	962
72	121	960
73	123	958
74	124	957
75	126	956
76	128	953
77	129	952
78	131	950
79	133	947
80	135	952
81	137	949
82	138	947
83	140	943
84	141	940
85	142	934
86	144	932
87	145	929
88	147	927
89	148	924
90	150	926
91	152	924
92	153	921
93	155	918
94	156	916
95	158	914
96	160	912
97	161	909
98	162	906
99	164	904
100	166	905
101	168	903
102	169	900
103	171	898
104	172	896
105	174	894
106	175	892
107	177	890
108	178	888
109	180	887
110	183	890
111	185	891
112	187	889
113	188	887
114	190	886
115	192	884
116	193	883
117	195	881
118	197	883
119	199	881
120	201	879
121	202	877
122	204	874
123	205	872
124	207	870
125	208	868
126	210	865
127	211	864
128	213	864
129	215	862
130	217	860
131	218	857
132	220	855
133	221	853
134	223	851
135	224	849
136	226	846
137	228	846
138	229	845
139	231	843
140	233	841
141	234	838
142	235	836
143	237	834
144	238	831
145	240	828
146	241	826
147	243	825
148	245	825
149	246	823
150	248	821
151	249	818
152	251	816
153	252	813
154	253	810
155	255	808
156	257	809
157	260	810
158	261	808
159	263	805
160	264	803
161	265	800
162	267	798
163	268	796
164	270	793
165	271	791
166	273	789
167	274	787
168	276	786
169	277	784
170	279	782
171	280	780
172	282	778
173	283	776
174	285	774
175	286	772
176	288	769
177	289	767
178	291	766
179	292	764
180	294	761
181	295	759
182	296	757
183	298	755
184	300	754
185	301	751
186	302	750
187	304	747
188	306	746
189	307	745
190	309	743
191	310	741
192	312	739
193	313	737
194	315	735
195	316	732
196	317	730
197	319	728
198	320	726
199	322	725
200	323	723
201	325	721
202	326	719
203	328	717
204	329	714
205	330	712
206	331	710
207	333	708
208	334	706
209	335	703
210	337	702
211	339	701
212	340	699
213	342	696
214	343	694
215	344	692
216	345	690
217	347	688
218	348	686
219	349	683
220	351	681
221	352	679
222	354	678
223	355	676
224	357	674
225	358	672
226	359	670
227	361	668
228	362	666
229	363	664
230	365	662
231	366	660
232	367	658
233	369	657
234	371	655
235	372	653
236	374	651
237	375	650
238	377	648
239	378	647
240	380	645
241	381	643
242	382	641
243	384	639
244	386	638
245	387	636
246	388	634
247	390	632
248	391	630
249	392	628
250	393	625
251	395	624
252	396	622
253	397	620
254	399	618
255	401	617
256	403	616
257	404	614
258	405	612
259	406	610
260	408	608
261	409	606
262	410	604
263	412	602
264	413	600
265	414	599
266	417	598
267	418	596
268	419	594
269	421	592
270	422	590
271	423	588
272	425	586
273	426	585
274	427	583
275	428	581
276	430	579
277	432	578
278	434	577
279	435	575
280	436	573
281	437	571
282	439	569
283	440	567
284	441	565
285	443	564
286	444	562
287	445	560
288	447	559
289	449	557
290	450	556
291	452	554
292	453	552
293	454	550
294	455	548
295	457	546
296	458	545
297	459	543
298	461	541
299	463	540
300	465	539
301	466	537
302	467	535
303	468	533
304	470	531
305	471	530
306	472	528
307	474	526
308	475	524
309	479	525
310	480	524
311	482	522
312	483	520
313	484	518
314	486	516
315	487	515
316	488	513
317	490	511
318	491	509
319	492	508
320	494	506
321	495	504
322	496	503
323	498	501
324	499	499
325	500	497
326	502	496
327	503	494
328	504	492
329	506	491
330	507	489
331	509	487
332	511	486
333	512	484
334	513	483
335	515	481
336	516	479
337	517	477
338	518	476
339	520	474
340	521	472
341	523	471
342	524	469
343	526	468
344	527	466
345	529	464
346	530	463
347	531	461
348	533	459
349	534	458
350	535	456
351	537	454
352	538	453
353	539	451
354	541	449
355	543	448
356	544	446
357	545	445
358	547	443
359	548	441
360	549	440
361	550	438
362	552	436
363	553	435
364	554	433
365	556	431
366	558	430
367	560	429
368	561	427
369	562	425
370	564	424
371	565	422
372	567	421
373	568	419
374	569	417
375	570	416
376	572	414
377	574	413
378	575	411
379	576	409
380	578	408
381	579	406
382	580	404
383	582	403
384	583	401
385	584	399
386	586	398
387	587	396
388	589	395
389	591	394
390	592	392
391	593	390
392	594	389
393	596	387
394	597	385
395	598	384
396	600	382
397	601	380
398	602	379
399	604	377
400	606	376
401	607	374
402	608	373
403	610	371
404	611	370
405	612	368
406	614	366
407	615	365
408	617	363
409	618	361
410	619	360
411	621	359
412	623	357
413	624	355
414	625	354
415	626	352
416	628	351
417	629	349
418	630	347
419	632	346
420	633	344
421	634	342
422	636	341
423	638	340
424	639	338
425	640	337
426	642	335
427	643	333
428	644	332
429	646	330
430	647	329
431	648	327
432	650	325
433	652	324
434	654	323
435	655	321
436	656	319
437	657	318
438	658	316
439	660	315
440	661	313
441	662	311
442	664	310
443	665	308
444	667	307
445	668	305
446	670	304
447	671	302
448	673	301
449	674	299
450	675	298
451	676	296
452	678	294
453	679	293
454	680	291
455	682	290
456	684	289
457	686	287
458	687	286
459	688	284
460	690	282
461	691	281
462	692	279
463	693	278
464	695	276
465	696	275
466	698	273
467	700	272
468	701	270
469	703	269
470	704	267
471	705	266
472	707	264
473	708	263
474	709	261
475	710	259
476	712	258
477	713	256
478	715	255
479	717	254
480	718	252
481	720	250
482	721	249
483	722	247
484	723	246
485	725	244
486	726	243
487	727	241
488	729	240
489	730	238
490	732	237
491	733	235
492	735	234
493	736	232
494	737	231
495	739	229
496	740	227
497	742	226
498	743	224
499	744	223
500	746	222
501	748	220
502	749	219
503	751	217
504	752	216
505	753	214
506	755	212
507	756	211
508	758	210
509	759	208
510	761	207
511	763	205
512	764	204
513	766	202
514	767	201
515	768	199
516	770	198
517	771	196
518	772	195
519	774	193
520	775	192
521	777	190
522	779	189
523	781	187
524	782	186
525	784	184
526	785	183
527	786	181
528	788	180
529	789	178
530	791	177
531	792	175
532	794	174
533	796	172
534	797	171
535	798	169
536	800	168
537	801	166
538	802	165
539	804	163
540	805	162
541	806	160
542	808	159
543	810	157
544	811	156
545	813	154
546	814	153
547	816	151
548	817	150
549	818	148
550	820	147
551	821	145
552	823	144
553	825	143
554	826	141
555	828	140
556	830	138
557	831	137
558	832	135
559	834	134
560	835	132
561	837	131
562	838	129
563	840	128
564	841	126
565	843	125
566	844	123
567	846	122
568	847	120
569	848	119
570	850	117
571	851	116
572	853	114
573	854	113
574	856	111
575	858	110
576	859	108
577	861	107
578	863	105
579	864	104
580	866	102
581	867	101
582	869	99
583	870	98
584	873	97
585	874	95
586	875	94
587	877	92
588	878	91
589	880	89
590	909	90
591	910	89
592	912	87
593	914	86
594	915	84
595	917	83
596	919	81
597	921	80
598	924	78
599	925	77
600	927	75
601	929	74
602	930	72
603	932	71
604	933	69
605	936	67
606	937	66
607	939	64
608	940	63
609	941	61
610	943	60
611	944	58
612	946	57
613	947	55
614	948	54
615	950	52
616	952	50
617	954	49
618	955	47
619	957	46
620	958	44
621	959	43
622	961	41
623	962	40
624	963	38
625	965	37
626	967	35
627	969	33
628	970	32
629	972	30
630	973	29
631	975	27
632	976	26
633	978	24
634	979	23
635	981	21
636	982	20
637	984	18
638	986	16
639	987	15
640	988	13
641	990	12
642	991	10
643	993	9
644	994	7
645	996	6
646	997	4
647	999	3
648	1000	1
649	1002	0
