title,Monthly Rent,Floor,description,Furnishing,address,latitude,longitude,Bathrooms,Bedrooms
"2 Bed Flat, Merino Gardens, E1W","£5,600",3rd floor,"                                Nestled in the heart of Wapping, Merino Gardens is an incredible newly built residential development which has access to seven and a half acres of open landscapes spaceand luxury spa and gym facilities. This 2 bedroom, 2 balcony apartment boasts a spacious and modern open plan kitchen and reception area. Both of the bedrooms boast generous proportions and the two bathrooms encompass contemporary design The development has an incredible location with fantastic Zone 1 transport links within walking distance.                            ",At tenant choice,,,,,
"1 Bed Flat, Oxendon Street, SW1Y","£2,578",14th floor,"                                On the doorstep of lively Piccadilly Circus with stunning views of London Eye and Big Ben and only a short walk from shopping streets Oxford Street and Regent Street, Soho, and Covent Garden. Close to LSE, Kings College and UCL.The apartment features 1 small bedroom and 1 bathroom in a purpose-built building right in the heart of Central London.The kitchen in this property is fully stocked and complete with all the facilities you might need. The bathroom has a shower and WC and features gold-leaf tiles. The living room is open plan and has a thematic wall. Another has a built-in wall TV. There is a breakfast table also with a built-in hob for lighter cooking. The apartment comes with TV, dishwasher and dryer, and cookery facilities.Size 390 Sq Feet.For one occupant only. Council tax circa Â£775 per year, electricity and water payable based on consumption.                            ",Furnished,,,,,
"2 Bed Flat, Covent Garden, WC2H","£2,800",18th floor," Lovely, spacious, newly refurnished, about 750 Sq feet 2 double bedrooms, 3rd and 4th floor duplex flat. Renovated to high standard ( Pictures are old, new will be updated); plenty of storage space. Separate living room with beautiful views of St Giles Church yard/garden ( the pic attached is taken from the living room window). Kitchen diner with all the appliances including dish washer. 3 piece bathroom suite with bath and shower. 2 double bedrooms with builtin wardrobes and study desks. Separate storage room which can accommodate couple of bikes and more. Entry phone and Spacious new lift. Situated in a quiet street; tucked away from the hustle and bustle of Central London. 2 minutes walk from Tottenham court, Covent Garden and Leicester Square Tube stations. Walking distance to LSE, UCL and many popular universities. Ideal for a professional couple and  students sharing.Not for short lets and rent to rent. Agents please excuse. ",Furnished,,,,,
"1 Bed Flat, Marconi House, WC2R","£4,246",19th floor,"                                Beautiful luxurious one-bedroom DUPLEX within one of London's most prestigious and conveniently placed buildings - The Marconi House.  Designed by world-class award-winning architect firm Forster and Partners. Marconi House is minutes away from Covent Garden, Royal Opera House, and River Thames. The property spread over two floors of this high-end impressive grade II listed building in excess of 715 sq ft living space. Open plan reception and dining room with Mele fitted kitchen and appliance. There is one guest bathroom on the lower floor. The upper floor comprises of one double bedroom with a fitted closet and ensuites. Benefits from the state-of-the-art home technology with integrated touch panel lighting and cooling system - all within the touch of a smart tablet. The Marconi House offers 24-hour concierge service and 3000 sq ft hotel-style lobbyRemarks to renter : Proven employment track record. Credit report requires. No Pet. No Smokers. Valid residence visa. Please DO NOT SMS my UK number. I am in Asia right now. So it's best you communicate with me through  this portal so I get your message on a timely fashion.Private landlord-managed property.12 months advance payment is required                            ",Furnished,,,,,
"2 Bed Flat, Townsend House, W1D","£4,500",15th floor,"                                This beautiful, modern apartment truly is a rare find. Situated on the forth floor, the property has a light and airy loft-like feel with amazing views of the surrounding neighbourhood. Excellent transport links, shops, bars and restaurants all on your doorstep!                            ",Furnished,,,,,
"1 Bed Flat, Beaumont Buildings, WC2B","£2,500",17th floor,"                                One Bedroom flat with Close Proximity to LSE and other Local Universites situated in Covent Garden.This flat consists of a bright airy living room with a separate fully fitted kitchen, a double bedroom and a shower room with separate w/c. The property also benefits from secure entry system. This Martlett Court property is in the heart of Covent Garden with beautiful communal gardens set right behind the Royal Opera house. Living in the world renowned location of Covent Garden Theatreland is on your doorstep from Wicked to Matilda you can pick a new show every night along with great bars, restaurants and attractions for all. It is a short walking distance from Covent Garden Tube Station and other transport links. Available 10th of September 2023                            ",Furnished,,,,,
"2 Bed Flat, Drury Lane, WC2B","£3,900",3rd floor,"                                We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location.Available to move in from 23 July 2023. Property is offered furnished.Viewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! SummaryRent Â£3,900.00 per month (Â£900.00 per week)Deposit / Bond is Â£4,500.00Minimum tenancy is 6 monthsMaximum number of tenants is 6                            ",Furnished,,,,,
"1 Bed Flat, Casson Square, SE1","£3,575",7th floor,"                                **VIDEO VIEWING AVAILABLE**Entire one bed luxurious flatavailable to rent in the popular and stunning location of Waterloo. Unbeatable location!Separate bedroom and bathroom. Very close to amenities and multiple transport links, both underground and train station (Waterloo station) ~2minutes walk. Southbank and the London Eye is right on your door step! Good view in the direction of Royal Festival Hall and River ThamesHighlights- Residents exclusive use of Gym, Infinity Pool, Steam Room, Sauna, Gym group Classes, etc.- 24 Hour Concierge - Triple Glazed Windows- Blackout Thermal Blinds (Perfect Fit)- Miele appliances- Underfloor Heating and Cooling System are installedApartment comes fully furnished. - a fully integrated kitchen with state of the art Miele appliances including dishwasher, microwave combination oven and wine cooler  - a large reception room with floor to ceiling windows- principal bedroom has bespoke full height wardrobes allowing for plenty of storage space- wooden flooring throughout, triple glazed windows, underfloor heating and comfort coolingResidents have access to multiple stylish private entertainment spaces - a place to work and meet colleagues for a coffee, or a spaceto sink into the comfy couches and chill in the lounge.  30 Casson Square has its own 24 hour concierge service as well as the Southbank Place 24hour security staff.30 Casson Square is located on the Southbank in the heart of London's cultural district with the BFI IMAX, Southbank Centre, Royal Festival Hall, Old Vic Theatre, Hayward Gallery and National Theatre all nearby. Southbank Place benefits from an onsite entrance into Waterloo Station for the Jubilee, Northern, Bakerloo, Waterloo & City line and mainline trains. The apartment is conveniently located for the City, Canary Wharf and the West End via the Jubilee Line.  Nearby are a great variety of restaurants and supermarkets.  You can also do a leisure walk downstairs at the beautiful Jubilee Park & Garden.   (NO COMPANY LETS, AGENTS OR SERVICED ACCOMMODATION REQUESTS PLEASE )  ",Furnished,,,,,
"3 Bed Terraced House, St. Annes Court, W1F","£6,250",3rd floor,"                                Historic 3 bedroom house in Soho, off Dean Street and moments away from the swanking new Tottenham Court Road Station.There are 3 double bedrooms, two of which are on the 2nd floor and the other 3rd bedroom is located on the 3rd floor. The kitchen, dining room and sitting rooms are all located on the 1st floor. This is suitable for students at nearby University of London colleges (UCL, SOAS, LSE, LBS) and those working in London. The new Crossrail is 50m away. Soho Gardens is on your doorstep as is a large Tesco supermarket. Soho is a world famous centre for Arts and Chinatown, Covent Garden and Piccadilly Circus are 10m walk with St James' Park 15 mins away. There are double beds in each bedroom. One bedroom has an additional single bed that can be removed. Nearest Stations: Tottenham Court Road, Oxford Street and Piccadilly Circus not far.                            ",Furnished,,,,,
"Studio Flat, Drury Lane, WC2B","£2,249",12th floor,"                                Spacious studio, newly renovated on Drury Lane, London, United KingdomRoom includes:Double bed + Study desk + underbed storage + Ensuite bathroom + Inbuilt kitchenBuilding includes: Free access of cinema room and common room (to study & play mahjong & play pool & play foosball) and well-equipped gymAccessibility:5 minute walk to LSE, KCL5 minute walk to Covent Garden (Piccadilly Line) and Holborn (Central Line)7 minute walk to Leicester Square (Northern Line)10 minute walk to Tottenham Court Road (Elizabeth Line) *convenient access to airport6 August - 9 September                            ",Furnished,,,,,
"2 Bed Flat, Whitehouse Apartments, SE1","£3,033",6th floor,"                                A great opportunity to rent this spacious two bedroom apartment within the renowned Whitehouse Apartments.The property is on the ground floor, and offers a large reception room, with a separate fully fitted kitchen, master bedroom with built in wardrobes and en-suite, and a second bedroom.The building benefits from 24 hour concierge with an additional on-site gymnasium with indoor swimming pool and spa. The immediate area offers a selection of shops, and restaurants, with Waterloo & Westminster Stations within a stone throw away as well as the Royal Festival Hall, London Eye nearby.*Electricity is included in the rent                            ",Furnished,,,,,
"3 Bed Flat, Whitehouse Apartments, SE1","£5,000",19th floor," Whitehouse Apartments is a highly sought after residential development less than 5 minutes walk to Waterloo underground station. Available end of September.3 bedroom apartment on the third floor with larger than average room sizes. Suitable for family, group of friends or students looking for a one year term.The apartment offers two en-suite bathrooms, and a private shower room for the third bedroom. Residents can enjoy a 24-hour concierge service, as well as private residents gym and swimming pool.                            ",At tenant choice,,,,,
"1 Bed Flat, Whitehouse Apartments, SE1","£2,491",7th floor,"                                Suberb riverside fully-furnished 1 bedroom apartment on the Southbank, Whitehouse Apartments next to Jubilee Gardens opposite Royal Festival Hall. 24 hour concierge/security, onsite gym and pool. Roof Gardens. Good light, large separate kitchen and separate bathroom with bath/shower. Large double bed and good storage. Close to King's College and to LSE with good links to City and to Canary Wharf. Waterloo, Embankment stations and riverboats. Galaxy of restaurants and bars on your doorstep, supermarkets and a short walk across the river to Embankment, Covent Garden and the West EndAvailable to move in from 29th of August 2023. PRICE FOR COUPLES Â£625 pwViewing highly recommended. Contact OpenRent today for more details or to arrange a viewing! No PetsNO AGENTS or SUBLETTING                            ",Furnished,,,,,
"2 Bed Flat, Casson Square, SE1","£5,450",6th floor," Stunning 2 bedroom apartment available on the 4th floor of Casson Square. Furnished.   The open plan reception and kitchen provide integrated appliances.   Both bedrooms feature floor to ceiling windows and ample storage space with built-in wardrobes with generous storage capacity is bolstered with further similar storage cupboards in the hallway.   The bedroom offers a spacious en-suite bathroom with separate shower and the bath and heated towel rail. There is a further shower room in the apartment.   Further leisure facilities are available, the space includes a state-of-the-art gym & swimming pool facilities, workout studios and spa (spa subject to separate charges).    There is access to a residents lounge within the building.   Casson Square has a dedicated security provision including a 24 hour concierge and apartment video entry. The development offers site wide CCTV security with centralised concierge/security office and 24 hour security staff.   The development benefits an onsite entrance into Waterloo Station which holds the Northern Lie, Bakerloo Line, Jubilee Line, Waterloo & City Line and mainline trains.   Local points of interest include, the UKs largest cinema screen at the BFI IMAX, London's Southbank, Royal Festival Hall, Hayward Gallery, National Theatre Young and Old Vic Theatres, the Garden Museum and the London Eye.   The photos are for illustrations and marketing purpose only. Property is available after 7th September 2023. Viewing available upon request. ",Furnished,,,,,
"2 Bed Flat, East Block, SE1","£3,799",13th floor,"                                We are proud to offer this delightful 2 bedroom, 2 bathroom flat in a great location direct from the landlord and therefore it is 10% cheaper than through agents in one of the best flats in County Hall given its location and high ceilings. * Location: Riverside by London Eye next to Jubilee Gardens and proximity to St James' and Green Parks and close to Kings College and LSE* Flat: high ceilings, lots of light, ample storage, access to onsite pool and gym * 24-7 security: onsite concierge and secure monitored entrances* Southbank:on your doorstep with restaurants and bars from the South Bank Centre, IMAX, National Theatre, New Tate and a pleasant walk toward Shakespeare's Globe and the walkway to St Paul's cathedral or on to London Bridge. The video shows the full spectrum of location, building and facilities but is for another flat in the same block we own.Available to move in from September 2020, this property benefits from available parking, and garden access. Property is offered furnished and suitable for a single occupant or a couple.Car park space available as extra.                            ",Furnished,,,,,
"2 Bed Maisonette, St Giles High Street, WC2H","£3,683",10th floor," FULLY FURNISHED + EQUIPPED BALCONY FLAT at CENTREPOINT Zone 1IDEAL for INTERNATIONAL STUDENTS/Anyone as MOVE-IN READY AVAILABLE August 2023 for LONG-STAYS - see various offers belowJust bring a Toothbrush + Clothes (or buy them when you get here!)The LOCATION cannot be more central - it is right beside ""CENTRE POINT""at Oxford Street/Charing Cross Road & the NEW St Giles Square Plaza* * * * *This is the meeting point of Soho, Covent Garden, Bloomsbury & Fitzrovia- Heart of THEATRELAND & also near British Museum, Royal Opera House1 minute to Tottenham Court Road Underground Station - For Tube Lines: Central | Northern + Elizabeth (Crossrail)* * * * *The BENEFITS you get with this flat:* FULLY FURNISHED & EQUIPPED > Cutlery, Crockery, Glassware, Pots etcplus Sofas, Dining Table, Balcony Table and Chairs, Beds and Curtains[Unfurnished properties cost several thousand pounds to fully furnish and equip]* RARE PRIVATE COVERED SUNNY BALCONY for OUTSIDE SPACE* Secondary Glazing Panels throughout keep the flat warm in Winter + quieter* Custom-fitted Thermal-Lined Black Out CURTAINS to aid sleep* In addition to Sun-diffusing, daytime privacy screening white VOILE curtainsADDITONAL BONUSES:* FREE trial of weekly, fortnightly or monthly maid + laundry service Secure quickly - tenancies agreed early will secure lower early priceThe APARTMENT comprises: Kitchen Living + Dining Room with covered all-weather Balcony 2 large double Bedrooms with bed options:- 1x Super-King + 2 Singles (as in photos), or 2x Super-Kings 1 Full Bathroom with WC, Basin and Bath over Shower 1 Guest WC and BasinSecondary Glazing throughout keeps flat warmer in Winter + quieter year roundPRICE + Flexible TERM Options > Flexibility very suitable for international students seeking less than 12 monthsYou can just stay 9 or 10 months even, but the minimum price applies below11 months @ Â£875 per week x 48 weeks = Â£42,000 (min term); OR12 months @ Â£850 per week x 52 weeks = Â£44,200 + UTILITY BILLS in addition which vary with your actual usage/supplier are:Council Tax (students may apply for full Council Tax exemption) Electricity + Water RatesTERMS:  + Rent to be paid in full in advance ASAP + A ""Good Care"" + Key Deposit of 5 weeks Rent is required prior to Key Release - either in Cash on move in date or Bank transfer at least 48 hours prior+ Utility Bills (variable) both Council Tax, Electricity + Water Rates accounts need to be set up in your name The Application Process is simple and these tips will help you, please always 1. View the Video Walk-Through Tour first to check the property is right for you before requesting an In-person Viewing (find Video at end of Photos); then 2. Answer the very basic questions required up-front in full + be paperwork ready as below.  If you do not it will delay In-Person Viewing access / application3. Should you then wish to take the property, subject to tenancy start date you may need to:  (a) Provide Photo ID and Proof of Funds to show you pass affordability checks;  (b) Pay a Holding Deposit of 1-Week's Rent while your application is processed/set-up;  (c) Schedule Rent in full payment dateBOOK YOUR VIEWING TODAY !Friendly, flexible private Landlord of 25 years experiencePLEASE NOTE THESE IMPORTANT POINTS:X NO SUB-LETTING or AIRBnB is permitted by my Freeholders :   So please do NOT enquire if you plan to do thisX NO COMMISSIONS OR ANY OTHER FEES APPLY ",Furnished,,,,,
